Timestamp,/zed2i/zed_node/depth/camera_info,/zed2i/zed_node/right/image_rect_color,/zed2i/zed_node/confidence/confidence_map,/transformed_point_cloud,/islam/vlp_odom,/piksi/navsatfix_best_fix,/jackal_velocity_controller/odom,/zed2i/zed_node/imu/mag,/zed2i/zed_node/pose,/cumulative_origin_point_cloud,/microstrain/imu/data,/velodyne_points,/transformed_odom,/zed2i/zed_node/depth/depth_registered,/zed2i/zed_node/left/image_rect_color,/zed2i/zed_node/left/camera_info,/islam/vlp_pts,/zed2i/zed_node/imu/data,/microstrain/mag,/cumulative_point_cloud,/zed2i/zed_node/right/camera_info,Timestamp_Variance_sec
1750363275.8959548,1689715620.6496947,1689715620.5496967,1689715620.6496947,1689715620.756432,1689715620.742844,1689715620.711628,1689715620.742844,1689715620.755918,1689715620.7505116,1689715620.756432,1689715620.774,1689715620.756432,1689715620.742844,1689715620.6496947,1689715620.7505116,1689715620.7505116,1689715620.756432,1689715620.7836657,1689715620.774,1689715620.756432,1689715620.6496947,0.003363333361662734
1750363276.8978045,1689715620.7505116,1689715620.7505116,1689715620.7505116,1689715620.858194,1689715620.8428395,1689715620.806149,1689715620.8428395,1689715620.8568182,1689715620.8497097,1689715620.858194,1689715620.882,1689715620.858194,1689715620.8228636,1689715620.7505116,1689715620.8497097,1689715620.8497097,1689715620.858194,1689715620.8845656,1689715620.882,1689715620.858194,1689715620.7505116,0.0022272320766070323
1750363277.9211864,1689715620.8497097,1689715620.8497097,1689715620.8497097,1689715620.957976,1689715620.9430802,1689715620.924226,1689715620.9430802,1689715620.9577181,1689715620.9497776,1689715620.957976,1689715620.979,1689715620.957976,1689715620.9430802,1689715620.8497097,1689715620.9497776,1689715620.9497776,1689715620.957976,1689715620.982943,1689715620.979,1689715620.957976,1689715620.8497097,0.002201649008963527
1750363278.9136887,1689715620.9497776,1689715620.9497776,1689715620.9497776,1689715621.05875,1689715621.0428436,1689715621.004297,1689715621.0428436,1689715621.058618,1689715621.0497148,1689715621.05875,1689715621.082,1689715621.05875,1689715621.0428436,1689715620.9497776,1689715621.0497148,1689715621.0497148,1689715621.05875,1689715621.0888882,1689715621.082,1689715621.05875,1689715620.9497776,0.002301215312852058
1750363279.966537,1689715621.0497148,1689715621.0497148,1689715621.0497148,1689715621.159639,1689715621.162818,1689715621.118144,1689715621.1429558,1689715621.1595256,1689715621.1497376,1689715621.159639,1689715621.182,1689715621.159639,1689715621.1228485,1689715621.0497148,1689715621.1497376,1689715621.1497376,1689715621.159639,1689715621.1847756,1689715621.182,1689715621.159639,1689715621.0497148,0.0023088186363766213
1750363280.9037747,1689715621.1497376,1689715621.1497376,1689715621.1497376,1689715621.260372,1689715621.2428482,1689715621.202135,1689715621.2428482,1689715621.2403257,1689715621.2497246,1689715621.260372,1689715621.279,1689715621.260372,1689715621.2428482,1689715621.1497376,1689715621.2497246,1689715621.2497246,1689715621.260372,1689715621.2857757,1689715621.279,1689715621.260372,1689715621.1497376,0.002250929208476767
1750363281.9178653,1689715621.2497246,1689715621.2497246,1689715621.2497246,1689715621.361469,1689715621.322864,1689715621.322815,1689715621.3428538,1689715621.3413255,1689715621.3498988,1689715621.361469,1689715621.382,1689715621.361469,1689715621.322864,1689715621.2497246,1689715621.3498988,1689715620.7505116,1689715621.361469,1689715621.3792007,1689715621.374,1689715621.361469,1689715621.2497246,0.01723947431140362
1750363282.951073,1689715621.3498988,1689715621.3498988,1689715621.3498988,1689715621.462161,1689715621.4428694,1689715621.421127,1689715621.4428694,1689715621.4423256,1689715621.4496777,1689715621.462161,1689715621.482,1689715621.462161,1689715621.4628553,1689715621.3498988,1689715621.4496777,1689715621.3498988,1689715621.462161,1689715621.4852507,1689715621.482,1689715621.462161,1689715621.3498988,0.0025894631632603533
1750363283.9352736,1689715621.4496777,1689715621.4496777,1689715621.4496777,1689715621.562975,1689715621.5428715,1689715621.511135,1689715621.5428715,1689715621.5433257,1689715621.5497367,1689715621.562975,1689715621.579,1689715621.562975,1689715621.5428715,1689715621.4496777,1689715621.5497367,1689715621.4496777,1689715621.562975,1689715621.5837257,1689715621.579,1689715621.562975,1689715621.4496777,0.002534991036895917
1750363284.9151847,1689715621.5497367,1689715621.5497367,1689715621.5497367,1689715621.663867,1689715621.66285,1689715621.606494,1689715621.6429763,1689715621.6443257,1689715621.6497457,1689715621.663867,1689715621.682,1689715621.663867,1689715621.6228523,1689715621.5497367,1689715621.6497457,1689715621.6497457,1689715621.663867,1689715621.6796756,1689715621.682,1689715621.663867,1689715621.5497367,0.0023353485360698436
